id;date_created;date_updated;menu_id;user_id
1;2019-12-04T04:05:54;2019-12-03T17:58:13;1;2
2;2019-12-04T08:41:05;2019-12-03T19:31:10;2;2
3;2019-12-03T22:43:10;2019-12-03T22:45:46;3;1
4;2019-12-04T02:23:14;2019-12-04T09:20:36;4;1
5;2019-12-04T11:41:35;2019-12-04T02:03:55;5;2
6;2019-12-04T05:04:41;2019-12-03T22:39:38;6;1
7;2019-12-03T20:05:37;2019-12-03T21:27:57;7;1
8;2019-12-04T11:44:00;2019-12-03T13:48:34;8;2
9;2019-12-03T17:06:31;2019-12-03T14:33:44;9;1
10;2019-12-04T13:04:06;2019-12-04T08:43:24;10;2
