id;base_total;final_total;vendor_id;date_created;date_updated;user_id;payment_method_id;delivery_type_id
1;37454;79654;95071;2019-12-06T08:00:46;2019-12-05T18:50:51;2;1;1
2;59865;59685;15601;2019-12-06T01:42:55;2019-12-06T08:40:17;1;2;2
3;5808;45925;86617;2019-12-06T04:24:22;2019-12-05T21:59:19;1;3;3
4;70807;65089;2058;2019-12-06T11:03:40;2019-12-05T13:08:15;2;4;4
5;83244;93855;21233;2019-12-06T12:23:47;2019-12-06T08:03:05;2;5;5
6;18340;61748;30424;2019-12-05T21:44:08;2019-12-05T23:49:16;1;6;6
7;43194;2307;29122;2019-12-05T23:49:14;2019-12-05T21:43:51;1;7;7
8;13949;4667;29214;2019-12-05T13:02:43;2019-12-06T03:37:21;1;8;8
9;45606;9061;78517;2019-12-05T21:34:26;2019-12-06T07:37:23;1;9;9
10;51423;98323;59241;2019-12-06T01:12:47;2019-12-06T11:18:01;2;10;10
