id;date_created;date_updated;description;name;price;image;image_content_type;is_available;user_id
1;2019-12-04T01:14:57;2019-12-03T15:07:17;Fish multi-byte Savings Account;Computer Practical Fresh Pants;60111;../fake-data/blob/hipster.png;image/png;false;2
2;2019-12-03T18:37:01;2019-12-04T09:44:39;Producer;Implementation Electronics Officer;61748;../fake-data/blob/hipster.png;image/png;false;2
3;2019-12-03T21:38:39;2019-12-04T10:04:07;Home Namibia;Steel zero administration;36636;../fake-data/blob/hipster.png;image/png;false;1
4;2019-12-04T08:03:49;2019-12-03T15:23:39;grey Cambridgeshire;Canyon HDD;68031;../fake-data/blob/hipster.png;image/png;false;1
5;2019-12-04T08:40:37;2019-12-04T09:55:11;Usability South Dakota envisioneer;Intelligent;68423;../fake-data/blob/hipster.png;image/png;false;1
6;2019-12-03T17:50:24;2019-12-04T07:18:33;Buckinghamshire Games;incentivize Tuna copy;42516;../fake-data/blob/hipster.png;image/png;true;1
7;2019-12-03T21:07:02;2019-12-03T20:36:48;Industrial;connect Markets Chief;59790;../fake-data/blob/hipster.png;image/png;true;2
8;2019-12-04T02:24:04;2019-12-04T08:06:52;sky blue Tasty Plastic Pizza;compress South Georgia and the South Sandwich Islands;58675;../fake-data/blob/hipster.png;image/png;false;2
9;2019-12-04T03:29:45;2019-12-03T19:40:10;bifurcated scalable;Small;98688;../fake-data/blob/hipster.png;image/png;false;2
10;2019-12-04T00:45:40;2019-12-04T05:28:08;Books;magenta monitor 1080p;60596;../fake-data/blob/hipster.png;image/png;false;2
