id;method;date_created;date_updated
1;mobile Fish;2019-12-04T17:33:31;2019-12-04T21:54:12
2;Table Computer;2019-12-05T10:52:38;2019-12-05T01:14:57
3;seamless Metal deposit;2019-12-05T10:55:02;2019-12-04T12:59:37
4;parsing red Chips;2019-12-05T07:52:10;2019-12-04T21:27:06
5;Home Loan Account;2019-12-05T12:06:05;2019-12-05T01:54:16
6;intangible;2019-12-04T21:35:12;2019-12-05T02:40:28
7;Gorgeous Frozen Pants;2019-12-05T06:41:05;2019-12-05T01:19:32
8;bluetooth;2019-12-05T07:28:44;2019-12-05T03:05:32
9;Planner Canyon;2019-12-04T15:37:58;2019-12-04T21:41:25
10;Table Small Frozen Sausages Planner;2019-12-04T16:52:11;2019-12-05T03:01:16
